#,configuration
1,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:beegfs
2,frequency:ssd | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:ssd | sifting:beegfs
3,frequency:ssd | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:beegfs
4,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:ssd | sifting:beegfs
5,frequency:tmpfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:beegfs
6,frequency:tmpfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:beegfs
7,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:beegfs
8,frequency:ssd | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:beegfs
9,frequency:tmpfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:ssd | sifting:beegfs
10,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:tmpfs
11,frequency:beegfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:beegfs | sifting:beegfs
12,frequency:beegfs | individuals_merge:ssd | individuals:beegfs | mutation_overlap:beegfs | sifting:beegfs
13,frequency:ssd | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:ssd | sifting:beegfs
14,frequency:ssd | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:beegfs | sifting:beegfs
15,frequency:beegfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:ssd | sifting:beegfs
16,frequency:beegfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:beegfs | sifting:beegfs
17,frequency:beegfs | individuals_merge:tmpfs | individuals:beegfs | mutation_overlap:beegfs | sifting:beegfs
18,frequency:tmpfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:tmpfs | sifting:beegfs
19,frequency:tmpfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:beegfs | sifting:beegfs
20,frequency:beegfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:tmpfs | sifting:beegfs
21,frequency:ssd | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:tmpfs | sifting:beegfs
22,frequency:tmpfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:ssd | sifting:beegfs
23,frequency:ssd | individuals_merge:ssd | individuals:beegfs | mutation_overlap:ssd | sifting:beegfs
24,frequency:ssd | individuals_merge:ssd | individuals:beegfs | mutation_overlap:beegfs | sifting:beegfs
25,frequency:beegfs | individuals_merge:ssd | individuals:beegfs | mutation_overlap:ssd | sifting:beegfs
26,frequency:ssd | individuals_merge:beegfs | individuals:ssd | mutation_overlap:ssd | sifting:beegfs
27,frequency:ssd | individuals_merge:beegfs | individuals:ssd | mutation_overlap:beegfs | sifting:beegfs
28,frequency:beegfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:ssd | sifting:beegfs
29,frequency:beegfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:beegfs | sifting:tmpfs
30,frequency:tmpfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:tmpfs | sifting:beegfs
31,frequency:tmpfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:beegfs | sifting:beegfs
32,frequency:beegfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:tmpfs | sifting:beegfs
33,frequency:ssd | individuals_merge:beegfs | individuals:ssd | mutation_overlap:tmpfs | sifting:beegfs
34,frequency:tmpfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:ssd | sifting:beegfs
35,frequency:tmpfs | individuals_merge:tmpfs | individuals:beegfs | mutation_overlap:tmpfs | sifting:beegfs
36,frequency:tmpfs | individuals_merge:tmpfs | individuals:beegfs | mutation_overlap:beegfs | sifting:beegfs
37,frequency:beegfs | individuals_merge:tmpfs | individuals:beegfs | mutation_overlap:tmpfs | sifting:beegfs
38,frequency:beegfs | individuals_merge:ssd | individuals:beegfs | mutation_overlap:beegfs | sifting:tmpfs
39,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:ssd
40,frequency:beegfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:beegfs | sifting:tmpfs
41,frequency:beegfs | individuals_merge:tmpfs | individuals:beegfs | mutation_overlap:beegfs | sifting:tmpfs
42,frequency:beegfs | individuals_merge:ssd | individuals:ssd | mutation_overlap:beegfs | sifting:beegfs
43,frequency:beegfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:beegfs
44,frequency:beegfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:beegfs | sifting:ssd
45,frequency:ssd | individuals_merge:ssd | individuals:ssd | mutation_overlap:ssd | sifting:beegfs
46,frequency:ssd | individuals_merge:ssd | individuals:ssd | mutation_overlap:beegfs | sifting:beegfs
47,frequency:beegfs | individuals_merge:ssd | individuals:ssd | mutation_overlap:ssd | sifting:beegfs
48,frequency:beegfs | individuals_merge:ssd | individuals:beegfs | mutation_overlap:beegfs | sifting:ssd
49,frequency:beegfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:beegfs | sifting:ssd
50,frequency:tmpfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:beegfs
51,frequency:tmpfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:beegfs
52,frequency:beegfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:beegfs
53,frequency:beegfs | individuals_merge:tmpfs | individuals:beegfs | mutation_overlap:beegfs | sifting:ssd
54,frequency:ssd | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:ssd | sifting:ssd
55,frequency:ssd | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:ssd
56,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:ssd | sifting:ssd
57,frequency:beegfs | individuals_merge:ssd | individuals:ssd | mutation_overlap:beegfs | sifting:tmpfs
58,frequency:tmpfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:tmpfs
59,frequency:tmpfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:tmpfs
60,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:tmpfs
61,frequency:beegfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:tmpfs
62,frequency:ssd | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:ssd | sifting:ssd
63,frequency:ssd | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:beegfs | sifting:ssd
64,frequency:beegfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:ssd | sifting:ssd
65,frequency:tmpfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:tmpfs | sifting:tmpfs
66,frequency:tmpfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:beegfs | sifting:tmpfs
67,frequency:beegfs | individuals_merge:beegfs | individuals:beegfs | mutation_overlap:tmpfs | sifting:tmpfs
68,frequency:ssd | individuals_merge:ssd | individuals:beegfs | mutation_overlap:ssd | sifting:ssd
69,frequency:ssd | individuals_merge:ssd | individuals:beegfs | mutation_overlap:beegfs | sifting:ssd
70,frequency:beegfs | individuals_merge:ssd | individuals:beegfs | mutation_overlap:ssd | sifting:ssd
71,frequency:ssd | individuals_merge:beegfs | individuals:ssd | mutation_overlap:ssd | sifting:ssd
72,frequency:ssd | individuals_merge:beegfs | individuals:ssd | mutation_overlap:beegfs | sifting:ssd
73,frequency:beegfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:ssd | sifting:ssd
74,frequency:beegfs | individuals_merge:ssd | individuals:ssd | mutation_overlap:beegfs | sifting:ssd
75,frequency:tmpfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:tmpfs | sifting:tmpfs
76,frequency:tmpfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:beegfs | sifting:tmpfs
77,frequency:beegfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:tmpfs | sifting:tmpfs
78,frequency:tmpfs | individuals_merge:tmpfs | individuals:beegfs | mutation_overlap:tmpfs | sifting:tmpfs
79,frequency:tmpfs | individuals_merge:tmpfs | individuals:beegfs | mutation_overlap:beegfs | sifting:tmpfs
80,frequency:beegfs | individuals_merge:tmpfs | individuals:beegfs | mutation_overlap:tmpfs | sifting:tmpfs
81,frequency:beegfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:ssd
82,frequency:ssd | individuals_merge:ssd | individuals:ssd | mutation_overlap:ssd | sifting:ssd
83,frequency:ssd | individuals_merge:ssd | individuals:ssd | mutation_overlap:beegfs | sifting:ssd
84,frequency:beegfs | individuals_merge:ssd | individuals:ssd | mutation_overlap:ssd | sifting:ssd
85,frequency:tmpfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:tmpfs
86,frequency:tmpfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:tmpfs
87,frequency:beegfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:tmpfs
