prev_block_size,prev_block_median,prev_block_q75,leaf_k,leaf_n,leaf_median,leaf_q25,rel_gap_ok,abs_gap_ok,gap_ok,overlap_ok,must_merge,decision
18,104.95491418165133,112.71858288799436,1,9,136.66920915823508,131.9709857501304,True,True,True,True,False,start_new
9,136.66920915823508,137.2713849675722,2,60,193.45972018389722,182.9926576402277,True,True,True,True,False,start_new
60,193.45972018389722,209.7067068089433,3,13,281.9597477903958,277.1223385479609,True,True,True,True,False,start_new
13,281.9597477903958,359.082088179542,4,8,297.1121504909383,286.4804724620084,False,True,True,True,False,start_new
8,297.1121504909383,305.2201986695694,5,16,312.61018547278053,261.7830950004863,False,True,True,True,False,start_new
16,312.61018547278053,315.41469157804994,6,4,329.28160180367746,314.6740565253822,False,True,True,True,False,start_new
4,329.28160180367746,329.83749424825953,7,13,340.7795764085529,334.64474199057366,False,True,True,True,False,start_new
13,340.7795764085529,454.59635579053156,8,62,397.23483089794365,314.5679379183436,True,True,True,False,False,merge_into_prev
75,395.0397714342189,412.9727572022507,9,13,481.4965225243146,458.32462474097485,True,True,True,True,False,start_new
13,481.4965225243146,509.22349337962584,10,10,507.5006126496139,403.10288628738994,False,True,True,False,False,merge_into_prev
23,484.7736130506731,509.45624710818606,11,17,1432.0243318427338,1427.1869226002987,True,True,True,True,False,start_new
17,1432.0243318427338,1450.408659390433,12,18,1632.394239063121,1554.650035789621,True,True,True,True,False,start_new
