region,size,mean,std,run_idfeature_stor,run_tracksingle_stor,run_gettracks_stor,run_trackstats_stor,run_identifymcs_stor,run_matchpf_stor,run_robustmcs_stor,run_mapfeature_stor,run_speed_stor,nodes
16,672,1.402540825391806,9.332820054672524e-15,ssd,beegfs,*,*,*,*,*,*,*,"2,4,8"
17,672,1.8097972526062605,6.666300039051803e-15,tmpfs,beegfs,*,*,*,*,*,*,*,"2,4,8"
22,519,9.773658896119517,1.315772275692507e-13,beegfs,beegfs,*,*,*,*,*,*,*,8
21,519,10.062541723090904,3.200527157089882e-14,beegfs,beegfs,*,*,*,*,*,*,*,4
19,519,14.783909989112741,1.3691143949773384e-13,beegfs,beegfs,*,*,*,*,*,*,*,2
12,734,26.528788058406604,0.13778987975047183,beegfs,ssd,*,*,*,*,*,*,*,"4,8"
13,734,28.57766354281746,0.1393742904331897,beegfs,tmpfs,*,*,*,*,*,*,*,"4,8"
10,367,31.318604164744173,6.403614843819615e-14,beegfs,ssd,*,*,*,*,*,*,*,2
9,367,33.35811080859555,2.490294661485406e-13,beegfs,tmpfs,*,*,*,*,*,*,*,2
6,672,82.06933178765601,0.12015720723550925,tmpfs,tmpfs,*,*,*,*,*,*,*,"2,4,8"
5,448,84.1354089690734,0.014430241489972155,ssd,ssd,*,*,*,*,*,*,*,"4,8"
4,224,85.91177960575465,1.9939754768185356e-13,ssd,ssd,*,*,*,*,*,*,*,2
