region,size,mean,std,cv,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,nodes
5,8,0.8729328127101539,0.0608202331050224,0.06967344132270233,"ssd,tmpfs","ssd,tmpfs",beegfs,beegfs,*,"5,10"
22,6,0.0,0.0,,beegfs,*,beegfs,beegfs,beegfs,"5,10"
2,8,0.7477777366497144,0.12495036195281305,0.16709558981072503,"ssd,tmpfs","ssd,tmpfs",beegfs,*,*,2
4,8,0.9246280426770308,0.013567571467403236,0.01467354529733027,"ssd,tmpfs","ssd,tmpfs",beegfs,"ssd,tmpfs",*,"5,10"
18,5,0.6063937293686734,0.0002932525323138396,0.0004836008654297096,beegfs,*,beegfs,tmpfs,*,10
21,8,0.570600078888809,0.03801939801436911,0.06663055162629557,beegfs,*,beegfs,beegfs,"ssd,tmpfs","5,10"
19,5,0.6066570839960385,0.00018939990482267372,0.00031220257674253175,beegfs,*,beegfs,ssd,*,10
16,5,0.5355008586214756,0.0003669283350276248,0.0006852058761814087,beegfs,*,beegfs,tmpfs,*,5
15,5,0.535700407175663,0.00021213856641661197,0.0003960022497183748,beegfs,*,beegfs,ssd,*,5
11,7,0.07454317034671362,0.06972877475772044,0.9354146655340715,beegfs,*,beegfs,beegfs,*,2
10,5,0.13047687203396813,0.00012266570243686068,0.0009401336844197652,beegfs,*,beegfs,tmpfs,*,2
9,5,0.13058017423464768,5.668898227599863e-05,0.0004341316176690854,beegfs,*,beegfs,ssd,*,2
